buyer_id,buyer_name,buyer_type,contact_person,phone_number,email,district,registration_number,blockchain_wallet,is_active,loaded_at
BYR00001,"Lane, Delacruz and Garrison Foods",Retailer,Susan Johnson,0702522223,susan.johnson@yahoo.com,Gulu,REG/2011/9979,0x0cba03d6df517f6d98df2f7bc269495d91ab0075,True,2025-12-06 15:51:22
BYR00002,"Williams, Hernandez and Holmes Trading",Exporter,Stephanie Lloyd,0700200667,stephanie.lloyd@yahoo.com,Jinja,REG/2015/9731,0xb8fe40792396516ee68cdf23e11f5e79b06b448b,True,2025-12-06 15:51:22
BYR00003,Roberson-Martin Foods,Exporter,Caitlyn Dixon,0753985126,caitlyn.dixon@yahoo.com,Rukungiri,REG/2018/6490,0x261b37d8a52aa83f29ed026063395c65241daed5,True,2025-12-06 15:51:22
BYR00004,Taylor and Sons Trading,Retailer,Joseph Wheeler,0701787969,joseph.wheeler@gmail.com,Rukungiri,REG/2012/4203,0x43e6f9d82e73452c986dd9d829d72c119fe21d73,True,2025-12-06 15:51:22
BYR00005,Galvan and Sons Limited,Retailer,David Lindsey,0753919280,david.lindsey@yahoo.com,Bushenyi,REG/2021/5809,0x8af1ab03949d2acb8a8d1fbd2377960bf7f90537,True,2025-12-06 15:51:22
BYR00006,"Figueroa, Martinez and Wagner Agro",Wholesaler,Crystal Baker,0700245070,crystal.baker@yahoo.com,Lira,REG/2013/4060,0x15f581dc712465ed001761be329688c93419fa86,True,2025-12-06 15:51:22
BYR00007,"Smith, Price and Dixon Agro",Processor,Amy Nichols,0754465036,amy.nichols@gmail.com,Kapchorwa,REG/2022/9945,0x600bf676f9a094da7ada96820bc0230ac618ca15,True,2025-12-06 15:51:22
BYR00008,"Dominguez, Aguilar and Davis Limited",Wholesaler,Christopher Goodwin,0770199873,christopher.goodwin@yahoo.com,Kabarole,REG/2020/7806,0xd60124dd97fd14c92c15db290fefdb550e2bfc4c,True,2025-12-06 15:51:22
BYR00009,Pacheco-Long Limited,Processor,Nancy Garcia,0704528916,nancy.garcia@yahoo.com,Bushenyi,REG/2018/7759,0xa28f09073167a318acaf649d98afad9bdfd39cf5,True,2025-12-06 15:51:22
BYR00010,White-Kelley Trading,Wholesaler,Lisa Weiss,0770181626,lisa.weiss@yahoo.com,Fort Portal,REG/2012/9242,0x182a0a5cf7719ad2ad903405525042d8a7de64cc,True,2025-12-06 15:51:22
BYR00011,South Michael Farmers Coop,Cooperative,Jeff Holt,0702929964,jeff.holt@hotmail.com,Mukono,REG/2023/9175,0x7676228262176cd0b9c77671fabb4ce3de0f82d8,True,2025-12-06 15:51:22
BYR00012,Clark Ltd Limited,Exporter,Derek Jackson,0752892922,derek.jackson@hotmail.com,Moroto,REG/2021/9200,0xc7e94e903b2293c72f993dafc3b3053cdd4f0262,True,2025-12-06 15:51:22
BYR00013,Brown PLC Limited,Retailer,Brittney Campbell,0752394655,brittney.campbell@gmail.com,Kisoro,REG/2014/4891,0x41b28295c7c733e9ebb4fcb8c198e2e13098f0bc,True,2025-12-06 15:51:22
BYR00014,North Michaelport Farmers Coop,Cooperative,Gabriel Carter,0754960676,gabriel.carter@hotmail.com,Tororo,REG/2019/8930,0x6471e7c0d0a21d6119d865e6aa8d15cd477529b3,True,2025-12-06 15:51:22
BYR00015,Schwartz LLC Foods,Retailer,John Adams,0704604169,john.adams@yahoo.com,Soroti,REG/2023/9698,0x9e6be3190e23bde9b94aebe27c0581b13e5cba05,True,2025-12-06 15:51:22
BYR00016,"Navarro, Vasquez and Ortiz Agro",Wholesaler,Barry Wright,0700673647,barry.wright@hotmail.com,Kitgum,REG/2020/5370,0xb60f8b417b00098df28548c1c3d85853da78b376,True,2025-12-06 15:51:22
BYR00017,Bailey-Bell Limited,Wholesaler,Alyssa Luna,0751186923,alyssa.luna@yahoo.com,Kapchorwa,REG/2020/7455,0xdc8be2049941b41ada64ae7ba8857cfd8aebd10a,True,2025-12-06 15:51:22
BYR00018,Smith-Ortega Limited,Processor,Jeffrey Keller,0753578319,jeffrey.keller@hotmail.com,Soroti,REG/2022/2980,0xd39ad7ce6bbcc51665e49327477f9b706bb7ffa9,True,2025-12-06 15:51:22
BYR00019,"Humphrey, Morton and Brown Agro",Exporter,Amy Romero,0770378293,amy.romero@hotmail.com,Ntungamo,REG/2017/1122,0x044995b664de1c45c58908eee431683f4c4c3839,True,2025-12-06 15:51:22
BYR00020,Debraland Farmers Coop,Cooperative,Victoria Murphy,0771569415,victoria.murphy@yahoo.com,Masindi,REG/2010/2179,0x5b63759c26719fe600c0d06cb4d7cbcbb61d2070,True,2025-12-06 15:51:22
BYR00021,North Phillipton Farmers Coop,Cooperative,Mrs. Bridget Thomas,0701972468,mrs..bridget.thomas@hotmail.com,Ntungamo,REG/2022/6786,0x039b8a31202597829a9a7bcee366f665212f33da,True,2025-12-06 15:51:22
BYR00022,West Kimberlyburgh Farmers Coop,Cooperative,Eric Castillo,0753146954,eric.castillo@hotmail.com,Hoima,REG/2017/4864,0x74b76e6be2ab542756f1313d44bfedd4d7133437,True,2025-12-06 15:51:22
BYR00023,Contreras-Bowers Limited,Wholesaler,Marie Chandler,0752143063,marie.chandler@yahoo.com,Masindi,REG/2014/1277,0xa63f4ef0771d3a554f4cf0de5a514b7f6e323628,True,2025-12-06 15:51:22
BYR00024,New Ronaldborough Farmers Coop,Cooperative,Mr. Joseph Parrish,0770373070,mr..joseph.parrish@hotmail.com,Jinja,REG/2019/3943,0x410d7b4a7c6b35c61d10641f3e715b56678f228f,True,2025-12-06 15:51:22
BYR00025,Owens-Brown Agro,Processor,Victor Perez,0750600278,victor.perez@hotmail.com,Kasese,REG/2010/7030,0xad4e654dbe6cb36d1101a141d7f16cec094ef2d1,True,2025-12-06 15:51:22
BYR00026,Lake Patricia Farmers Coop,Cooperative,Patricia Palmer,0750156718,patricia.palmer@hotmail.com,Pallisa,REG/2020/3627,0xcce5561e9cd148e86550d9ecd5379a26c63c1817,True,2025-12-06 15:51:22
BYR00027,Montgomery Ltd Limited,Processor,Jason Brown,0754419602,jason.brown@hotmail.com,Rukungiri,REG/2016/5522,0x479892182148abc82b243c418659120e747c14b7,True,2025-12-06 15:51:22
BYR00028,"Taylor, Moore and Boyer Trading",Wholesaler,Gabriel Mccall MD,0751440494,gabriel.mccall.md@yahoo.com,Masaka,REG/2014/2194,0x027e3a28f9d0be78948fb19e0464d766075386d2,True,2025-12-06 15:51:22
BYR00029,West Michaelside Farmers Coop,Cooperative,Nathan Gonzalez,0754738515,nathan.gonzalez@gmail.com,Apac,REG/2020/5806,0x05c0b7f1802f2c583cc6eeed442e608347d68735,True,2025-12-06 15:51:22
BYR00030,"Alexander, Watson and Riggs Trading",Exporter,Samantha Garza,0703618766,samantha.garza@gmail.com,Bundibugyo,REG/2013/6273,0x9f8d33d2feafa82cf6442798b13d4862f7893e36,True,2025-12-06 15:51:22
BYR00031,Harris-Morris Limited,Retailer,Tara Jones,0771892582,tara.jones@yahoo.com,Fort Portal,REG/2018/2580,0x65fffdaf7fd034a8f1895a57ef04306d4ba31bcb,True,2025-12-06 15:51:22
BYR00032,"Davenport, Clark and Perez Agro",Wholesaler,Maureen Johnson,0702365072,maureen.johnson@gmail.com,Kampala,REG/2013/4798,0xaba5101c72bfc91e8ca8a6811407c8868efc0fe0,True,2025-12-06 15:51:22
BYR00033,"Livingston, Webster and Graves Agro",Processor,Dr. Kathryn Alvarado MD,0771275448,dr..kathryn.alvarado.md@yahoo.com,Kumi,REG/2014/3826,0x3b379070c826a5a5dabe5b8a7f8dd616e3cdd99c,True,2025-12-06 15:51:22
BYR00034,Amandamouth Farmers Coop,Cooperative,Lynn Sullivan,0770467701,lynn.sullivan@gmail.com,Ntungamo,REG/2018/5136,0xd59cd5bce6511d4c49522bfcffcefc1adc8fa655,True,2025-12-06 15:51:22
BYR00035,Lake Summerberg Farmers Coop,Cooperative,Mary Lee,0753542336,mary.lee@yahoo.com,Ntungamo,REG/2010/4155,0x28239ca551d52f6899ac5af0e4f2ea07e5d58d19,True,2025-12-06 15:51:22
BYR00036,Paul PLC Trading,Processor,Nathan Powers,0750829824,nathan.powers@hotmail.com,Hoima,REG/2021/3651,0x97eb7f80b675eb787cc246879fb29201d7dafdce,True,2025-12-06 15:51:22
BYR00037,"Taylor, Hughes and Maddox Limited",Processor,Benjamin Smith,0750339946,benjamin.smith@gmail.com,Katakwi,REG/2016/5924,0xf50acd7a11098d83575daadec1d51511dea9d64b,True,2025-12-06 15:51:22
BYR00038,Murphymouth Farmers Coop,Cooperative,Douglas Castillo,0751553556,douglas.castillo@yahoo.com,Bundibugyo,REG/2011/9085,0xaf7834d6ad76853f8cf015604c95a28f04a0335a,True,2025-12-06 15:51:22
BYR00039,Schaefer PLC Foods,Wholesaler,Taylor Sharp,0701220265,taylor.sharp@gmail.com,Pallisa,REG/2015/6571,0x20224bd3b5bc4ab83d0cfd245f15ff25636539f0,True,2025-12-06 15:51:22
BYR00040,"Pittman, Mendez and Hood Trading",Processor,Amber Santana,0770408139,amber.santana@yahoo.com,Apac,REG/2011/3547,0x3f058d8f97d123f32a9972a068f4da5a7d439202,True,2025-12-06 15:51:22
BYR00041,East Yvonne Farmers Coop,Cooperative,Cynthia Hernandez,0753801176,cynthia.hernandez@gmail.com,Masindi,REG/2018/4092,0xc5fcd8d40b22ce29da0c530ebe6ce703965c7fa1,True,2025-12-06 15:51:22
BYR00042,"Olson, Morton and Richards Trading",Retailer,Shelley Carr,0701231408,shelley.carr@gmail.com,Bushenyi,REG/2016/7547,0x416f5ed33a74a659b72e359fe684f80ef623436e,True,2025-12-06 15:51:22
BYR00043,North Aaronmouth Farmers Coop,Cooperative,Jennifer Walker,0700285290,jennifer.walker@yahoo.com,Kitgum,REG/2022/8111,0xf1ec8ef453bc20d99a61b19701b0c104007b68bd,True,2025-12-06 15:51:22
BYR00044,Farmer LLC Agro,Processor,Thomas Acosta,0702114939,thomas.acosta@gmail.com,Moroto,REG/2021/5883,0x1451994945967bc49fcc322ed8f341df5f01669b,True,2025-12-06 15:51:22
BYR00045,"Hill, Gray and Boone Agro",Retailer,Kathleen Welch,0754453964,kathleen.welch@gmail.com,Kitgum,REG/2016/9846,0xdeed0e2025cae14e12976ed1365e77ef1287109d,True,2025-12-06 15:51:22
